millis,temp,output
419970,18.87,0.00
420967,18.97,0.00
421964,18.97,0.00
422961,18.97,0.00
423958,18.94,0.00
424955,18.94,0.00
425953,19.01,1.44
426949,18.94,1.44
427947,19.08,13.30
428944,19.04,13.30
429941,19.04,7.37
430939,19.04,7.37
431936,19.18,31.01
432932,19.08,31.01
433930,19.14,25.08
434927,19.14,25.08
435924,19.11,19.19
436922,19.11,19.19
437919,19.18,31.01
438917,19.21,31.01
439913,19.18,31.01
440910,19.21,31.01
441908,19.21,36.90
442905,19.18,36.90
443902,19.18,31.01
444900,19.21,31.01
445897,19.21,36.90
446894,19.21,36.90
447891,19.18,31.01
448888,19.18,31.01
449886,19.18,31.01
450883,19.18,31.01
451880,19.18,31.01
452878,19.18,31.01
453874,19.18,31.01
454872,19.14,31.01
455869,19.11,19.19
456866,19.14,19.19
457864,19.14,25.08
458861,19.11,25.08
459858,19.14,25.08
460855,19.11,25.08
461852,19.01,1.44
462850,19.14,1.44
463847,19.08,13.30
464844,19.01,13.30
465842,19.08,13.30
466838,18.97,13.30
467835,19.04,7.37
468833,18.97,7.37
469830,19.01,1.44
470828,19.01,1.44
471825,18.91,0.00
472821,18.97,0.00
473819,18.94,0.00
474816,18.94,0.00
475813,18.97,0.00
476810,18.91,0.00
477807,18.97,0.00
478804,18.97,0.00
479802,18.97,0.00
480799,18.97,0.00
481796,18.97,0.00
482793,18.97,0.00
483790,18.97,0.00
484788,19.01,0.00
485785,18.97,0.00
486781,19.01,0.00
487779,18.97,0.00
488776,19.04,0.00
489774,19.01,1.44
490770,19.04,1.44
491767,19.11,19.19
492765,18.91,19.19
493762,19.08,13.30
494759,19.24,13.30
495757,19.14,25.08
496754,19.11,25.08
497751,19.24,42.82
498748,19.18,42.82
499745,19.11,19.19
500743,19.18,19.19
501740,19.24,42.82
502737,19.18,42.82
503735,19.18,31.01
504731,19.21,31.01
505729,19.11,19.19
506726,19.18,19.19
507723,19.14,25.08
508721,19.21,25.08
509718,19.14,25.08
510715,19.21,25.08
511712,19.18,31.01
512709,19.24,31.01
513707,19.18,31.01
514704,19.18,31.01
515701,19.14,25.08
516699,19.04,25.08
517696,19.11,19.19
518692,19.11,19.19
519690,19.04,7.37
520687,19.11,7.37
521684,19.11,19.19
522682,19.11,19.19
523679,19.04,7.37
524676,19.21,7.37
525673,19.08,13.30
526670,19.08,13.30
527668,18.97,0.00
528665,19.04,0.00
529661,19.04,7.37
530659,18.97,7.37
531656,19.01,1.44
532654,19.04,1.44
533651,19.04,7.37
534647,19.04,7.37
535645,19.08,13.30
536642,18.97,13.30
537639,18.97,0.00
538637,19.01,0.00
539634,19.04,7.37
540631,18.97,7.37
541628,19.08,13.30
542625,19.08,13.30
543623,19.04,7.37
544620,18.97,7.37
545617,19.01,1.44
546614,19.11,1.44
547611,19.14,25.08
548609,19.04,25.08
549606,19.08,13.30
550603,19.11,13.30
551601,19.11,19.19
552597,19.08,19.19
553594,19.11,19.19
554592,19.14,19.19
555589,19.11,19.19
556587,19.18,19.19
557584,19.08,13.30
558581,19.21,13.30
559578,19.14,25.08
560575,19.08,25.08
561572,19.21,36.90
562570,19.24,36.90
563567,19.14,25.08
564564,19.08,25.08
565562,19.28,48.72
566558,19.18,48.72
567556,19.21,36.90
568553,19.14,36.90
569550,19.18,31.01
570548,19.14,31.01
571545,19.21,36.90
572541,19.14,36.90
573539,19.18,31.01
574536,18.97,31.01
575534,19.14,25.08
576531,19.11,25.08
577528,19.14,25.08
578526,19.18,25.08
579523,19.08,13.30
580519,19.14,13.30
581517,19.11,19.19
582514,19.11,19.19
583512,19.18,31.01
584509,19.01,31.01
585506,19.01,1.44
586503,19.04,1.44
587500,19.01,1.44
588497,19.04,1.44
589495,19.01,1.44
590492,18.91,1.44
591489,19.01,1.44
592486,18.94,1.44
593483,19.01,1.44
594481,18.87,1.44
595478,19.01,1.44
596475,18.91,1.44
597472,18.91,0.00
598469,18.97,0.00
599467,18.91,0.00
600464,18.94,0.00
601461,18.97,0.00
602458,18.97,0.00
603455,18.97,0.00
604452,18.97,0.00
605450,19.01,1.44
606446,18.97,1.44
607443,19.01,1.44
608441,19.04,1.44
609438,19.04,7.37
610436,19.11,7.37
611433,19.01,1.44
612429,19.04,1.44
613427,19.04,7.37
614424,19.08,7.37
615421,19.11,19.19
616419,19.14,19.19
617415,19.18,31.01
618413,19.04,31.01
619410,19.08,13.30
620407,19.24,13.30
621405,19.18,31.01
622402,19.24,31.01
623399,19.21,36.90
624396,19.14,36.90
625393,19.21,36.90
626391,19.21,36.90
627388,19.14,25.08
628385,19.21,25.08
629383,19.18,31.01
630380,19.18,31.01
631376,19.21,36.90
632374,19.24,36.90
633371,19.24,42.82
634369,19.18,42.82
635366,19.18,31.01
636363,19.28,31.01
637361,19.18,31.01
638357,19.14,31.01
639354,19.18,31.01
640352,19.14,31.01
641349,19.24,42.82
642347,19.21,42.82
643344,19.14,25.08
644341,19.14,25.08
645338,19.08,13.30
646335,19.04,13.30
647332,19.11,19.19
648330,19.11,19.19
649327,19.08,13.30
650324,19.08,13.30
651322,19.08,13.30
652318,19.08,13.30
653316,19.04,7.37
654313,18.97,7.37
655310,18.91,0.00
656308,18.97,0.00
657304,18.97,0.00
658301,18.94,0.00
659299,18.97,0.00
660296,18.97,0.00
661294,18.94,0.00
662290,19.18,0.00
663287,19.35,60.53
664285,19.35,60.53
665282,19.48,84.17
666279,19.51,84.17
667277,19.58,101.91
668273,19.45,101.91
669271,19.68,119.66
670268,19.68,119.66
671265,19.78,137.37
672263,19.75,137.37
673260,19.82,143.29
674257,19.89,143.29
675255,19.82,143.29
676252,19.85,143.29
677250,19.89,155.11
678246,19.95,155.11
679243,19.92,161.00
680241,19.92,161.00
681238,20.02,178.75
682235,19.99,178.75
683233,19.95,166.93
684230,20.02,166.93
685228,19.95,166.93
686225,19.99,166.93
687222,19.95,166.93
688219,19.92,166.93
689216,19.92,161.00
690213,19.78,161.00
691211,19.89,155.11
692208,19.85,155.11
693206,19.78,137.37
694203,19.75,137.37
695200,19.72,125.55
696198,19.68,125.55
697195,19.68,119.66
698192,19.58,119.66
699189,19.58,101.91
700186,19.51,101.91
701184,19.48,84.17
702181,19.45,84.17
703178,19.35,60.53
704176,19.24,60.53
705173,19.14,25.08
706170,19.18,25.08
707167,18.97,0.00
708164,18.97,0.00
709161,18.87,0.00
710159,18.74,0.00
711156,18.70,0.00
712153,18.57,0.00
713150,18.43,0.00
714147,18.40,0.00
715145,18.33,0.00
716141,18.23,0.00
717138,18.23,0.00
718136,18.16,0.00
719133,18.20,0.00
720131,18.20,0.00
721127,18.16,0.00
722124,18.20,0.00
723122,18.13,0.00
724119,18.20,0.00
725115,18.16,0.00
726113,18.20,0.00
727110,18.23,0.00
728108,18.20,0.00
729105,18.27,0.00
730101,18.27,0.00
731099,18.30,0.00
732096,18.37,0.00
733093,18.37,0.00
734090,18.40,0.00
735087,18.47,0.00
736084,18.47,0.00
737082,18.54,0.00
738079,18.54,0.00
739076,18.54,0.00
740073,18.64,0.00
741070,18.64,0.00
742068,18.67,0.00
743065,18.70,0.00
744061,18.77,0.00
745059,18.77,0.00
746056,18.81,0.00
747054,18.87,0.00
748050,18.91,0.00
749047,18.91,0.00
750045,18.97,0.00
751042,19.01,1.44
752039,19.01,1.44
753036,19.01,1.44
754033,19.08,1.44
755031,19.11,19.19
756028,19.14,19.19
757025,19.08,13.30
758023,19.28,13.30
759020,19.24,42.82
760016,19.24,42.82
761014,19.24,42.82
762011,19.35,42.82
763009,19.51,90.10
764006,19.45,90.10
765003,19.51,90.10
766000,19.51,90.10
